Time,# Sessions
2017/01/01 05:00:00.000000 +00:00,0
2017/01/02 05:00:00.000000 +00:00,0
2017/01/03 05:00:00.000000 +00:00,0
2017/01/04 05:00:00.000000 +00:00,0
2017/01/05 05:00:00.000000 +00:00,0
2017/01/06 05:00:00.000000 +00:00,0
2017/01/07 05:00:00.000000 +00:00,0
2017/01/08 05:00:00.000000 +00:00,0
2017/01/09 05:00:00.000000 +00:00,0
2017/01/10 05:00:00.000000 +00:00,0
2017/01/11 05:00:00.000000 +00:00,0
2017/01/12 05:00:00.000000 +00:00,0
2017/01/13 05:00:00.000000 +00:00,0
2017/01/14 05:00:00.000000 +00:00,0
2017/01/15 05:00:00.000000 +00:00,0
2017/01/16 05:00:00.000000 +00:00,0
2017/01/17 05:00:00.000000 +00:00,0
2017/01/18 05:00:00.000000 +00:00,0
2017/01/19 05:00:00.000000 +00:00,0
2017/01/20 05:00:00.000000 +00:00,0
2017/01/21 05:00:00.000000 +00:00,0
2017/01/22 05:00:00.000000 +00:00,0
2017/01/23 05:00:00.000000 +00:00,0
2017/01/24 05:00:00.000000 +00:00,0
2017/01/25 05:00:00.000000 +00:00,0
2017/01/26 05:00:00.000000 +00:00,0
2017/01/27 05:00:00.000000 +00:00,0
2017/01/28 05:00:00.000000 +00:00,0
2017/01/29 05:00:00.000000 +00:00,0
2017/01/30 05:00:00.000000 +00:00,0
2017/01/31 05:00:00.000000 +00:00,0
2017/02/01 05:00:00.000000 +00:00,0
2017/02/02 05:00:00.000000 +00:00,446
2017/02/03 05:00:00.000000 +00:00,501
2017/02/04 05:00:00.000000 +00:00,635
2017/02/05 05:00:00.000000 +00:00,383
2017/02/06 05:00:00.000000 +00:00,664
2017/02/07 05:00:00.000000 +00:00,606
2017/02/08 05:00:00.000000 +00:00,1033
2017/02/09 05:00:00.000000 +00:00,400
2017/02/10 05:00:00.000000 +00:00,654
2017/02/11 05:00:00.000000 +00:00,871
2017/02/12 05:00:00.000000 +00:00,1033
2017/02/13 05:00:00.000000 +00:00,590
2017/02/14 05:00:00.000000 +00:00,646
2017/02/15 05:00:00.000000 +00:00,574
2017/02/16 05:00:00.000000 +00:00,427
2017/02/17 05:00:00.000000 +00:00,1140
2017/02/18 05:00:00.000000 +00:00,1073
2017/02/19 05:00:00.000000 +00:00,1095
2017/02/20 05:00:00.000000 +00:00,926
2017/02/21 05:00:00.000000 +00:00,748
2017/02/22 05:00:00.000000 +00:00,590
2017/02/23 05:00:00.000000 +00:00,1251
2017/02/24 05:00:00.000000 +00:00,1378
2017/02/25 05:00:00.000000 +00:00,899
2017/02/26 05:00:00.000000 +00:00,505
2017/02/27 05:00:00.000000 +00:00,522
2017/02/28 05:00:00.000000 +00:00,842
2017/03/01 05:00:00.000000 +00:00,745
2017/03/02 05:00:00.000000 +00:00,773
