Category,Usage (kB),Usage %
Other,299319198,48.49396507
Video,130115224.9,21.0805161
Social web,67990396.78,11.0154108
Music,58063639.08,9.407134938
Online backup,32379195.83,5.245890014
File sharing,7861892.689,1.273738377
Email,7744379.232,1.254699526
Software & anti-virus updates,3983287.805,0.645349249
News,3356441.627,0.543791257
P2P,2485668.409,0.402713617
VoIP & video conferencing,1248578.616,0.202287485
Sports,1232049.804,0.199609582
Productivity,592402.2129,0.09597758
Photo sharing,387527.2734,0.062784927
Blogging,345050.1123,0.055903023
Gaming,84021.62402,0.013612698
Business management,39277.43457,0.006363503
Web file sharing,827.5029297,0.000134067
Remote monitoring & management,729.4404297,0.00011818
