Manufacturer,# Clients,Data Received (kB),Data Sent (kB)
Apple,5766,758129281,162139457
LG Electronics (Mobile...,422,88917968,7278960
Samsung(THAILAND),352,50846576,5946209
Murata Manufacturing,384,43972928,10386773
zte,140,46974509,5425589
Samsung,378,28502780,3800202
Intel,130,20736784,4557370
"Motorola Mobility LLC, a...",275,12813149,3221282
HTC,140,8658694,3462605
TCT mobile,70,6260466,510305
Amazon Technologies,19,4932784,274658
Huawei Technologies,78,3176842,798347
Hon Hai/Foxconn,21,3489170,320294
KYOCERA,22,2238023,725360
Lite-On,14,2573172,253304
Microsoft,23,1891295,198066
,13,1674185,165666
Private,8,1283191,54572
Motorola (Wuhan)...,4,973627,101477
Sony Mobile...,29,763703,136134
AzureWave Technology,11,762095,91779
Chicony Electronics,2,721558,21943
OnePlus Tech (Shenzhen),26,377156,332280
OnePlus Technology...,7,436633,245130
Samsung ELECTRO MECHANICS,16,349046,38685
Yulong Computer...,9,330338,16065
Chi Mei Communication...,2,242927,11398
BLU Products,7,157748,73390
Shenzhen TINNO Mobile...,5,34228,177358
Microsoft Mobile Oy,5,146150,16519
Rivet Networks,2,119811,8628
Lemobile Information...,2,16550,78406
WISOL,2,70432,11160
Xiaomi Communications,9,56718,21751
Shanghai Huaqin Telecom...,1,63213,1050
China Palms Telecom.Ltd,2,10374,45663
GUANGDONG OPPO MOBILE...,3,43548,6719
Nokia,3,19703,22531
QUANTA Computer,1,34254,2802
ASUS,7,12543,18697
IEEE Registration...,2,26681,2109
ShenZhen Konka...,1,22671,4904
MediaTek,1,24816,2177
Beijing SHENQI Technology,1,19702,4149
AMPAK Technology,1,10971,1193
Qualcomm,2,8411,1580
vivo Mobile Communication,2,6206,1748
BlackBerry RTS,1,5786,1060
Lenovo (Beijing),1,4841,423
Dewav Technology,1,4330,740
Fairphone,1,4435,605
Wistron,1,4553,387
LONGCHEER...,1,3473,629
Kyocera Wireless,1,1841,220
Vivotek,1,632,484
Shenzhen RF Technology,1,790,193
TECNO MOBILE,1,339,177
BQ,1,174,45
SHENZHEN RF-LINK...,1,92,102
ALFA,1,102,35
MEIZU Technology,1,9,10
