Time,Download (B),Total (B)
2017/06/30 22:00:00.000000 +00:00,0,0
2017/07/01 02:00:00.000000 +00:00,62586.31111,78668.23111
2017/07/01 06:00:00.000000 +00:00,4981.76,5714.488889
2017/07/01 10:00:00.000000 +00:00,185231.36,214376.1067
2017/07/01 14:00:00.000000 +00:00,404593.2089,498751.1467
2017/07/01 18:00:00.000000 +00:00,2255256.462,2618195.058
2017/07/01 22:00:00.000000 +00:00,2036989.156,2154077.298
2017/07/02 02:00:00.000000 +00:00,112385.1378,129822.72
2017/07/02 06:00:00.000000 +00:00,41250.70222,42923.23556
2017/07/02 10:00:00.000000 +00:00,1187004.302,1236392.96
2017/07/02 14:00:00.000000 +00:00,968247.1822,2491684.409
2017/07/02 18:00:00.000000 +00:00,704000.5689,921403.7333
2017/07/02 22:00:00.000000 +00:00,542746.1689,617911.1822
2017/07/03 02:00:00.000000 +00:00,354090.0978,367902.72
2017/07/03 06:00:00.000000 +00:00,11306.09778,12976.35556
2017/07/03 10:00:00.000000 +00:00,937341.7244,1254495.573
2017/07/03 14:00:00.000000 +00:00,839403.52,1485507.129
2017/07/03 18:00:00.000000 +00:00,1876483.413,2160029.013
2017/07/03 22:00:00.000000 +00:00,405772.5156,660751.36
2017/07/04 02:00:00.000000 +00:00,49146.88,51457.70667
2017/07/04 06:00:00.000000 +00:00,4672.284444,10089.24444
2017/07/04 10:00:00.000000 +00:00,659961.7422,686814.4356
2017/07/04 14:00:00.000000 +00:00,1906908.16,2157693.724
2017/07/04 18:00:00.000000 +00:00,2392647.68,2640715.662
2017/07/04 22:00:00.000000 +00:00,175319.04,195169.28
2017/07/05 02:00:00.000000 +00:00,20343.46667,21492.05333
2017/07/05 06:00:00.000000 +00:00,26733.22667,29683.48444
2017/07/05 10:00:00.000000 +00:00,296148.7644,336502.8978
2017/07/05 14:00:00.000000 +00:00,1310919.68,1768958.293
2017/07/05 18:00:00.000000 +00:00,898434.2756,998464.2844
2017/07/05 22:00:00.000000 +00:00,629799.8222,754905.3156
2017/07/06 02:00:00.000000 +00:00,0,0
2017/07/06 06:00:00.000000 +00:00,3539.626667,4609.137778
2017/07/06 10:00:00.000000 +00:00,1000467.342,1089537.138
2017/07/06 14:00:00.000000 +00:00,1547392,1712661.618
2017/07/06 18:00:00.000000 +00:00,1447985.493,1645631.716
2017/07/06 22:00:00.000000 +00:00,1030144.569,1200190.009
2017/07/07 02:00:00.000000 +00:00,55892.76444,72057.74222
2017/07/07 06:00:00.000000 +00:00,20142.08,21383.39556
2017/07/07 10:00:00.000000 +00:00,2701758.009,3001904.356
2017/07/07 14:00:00.000000 +00:00,1168719.076,1349892.551
2017/07/07 18:00:00.000000 +00:00,592583.1111,961402.3111
2017/07/07 22:00:00.000000 +00:00,513351.1111,708968.6756
2017/07/08 02:00:00.000000 +00:00,204226.56,236278.3289
2017/07/08 06:00:00.000000 +00:00,49170.20444,56602.16889
2017/07/08 10:00:00.000000 +00:00,1140832.711,1475298.418
2017/07/08 14:00:00.000000 +00:00,1987262.578,2195275.662
2017/07/08 18:00:00.000000 +00:00,485489.2089,694576.3556
2017/07/08 22:00:00.000000 +00:00,266756.5511,457270.6133
2017/07/09 02:00:00.000000 +00:00,110471.9644,577687.8933
2017/07/09 06:00:00.000000 +00:00,90018.13333,557352.96
2017/07/09 10:00:00.000000 +00:00,226803.4844,270841.7422
2017/07/09 14:00:00.000000 +00:00,329245.0133,374310.6844
2017/07/09 18:00:00.000000 +00:00,426437.4044,895033.4578
2017/07/09 22:00:00.000000 +00:00,83669.90222,123657.1022
2017/07/10 02:00:00.000000 +00:00,11991.04,12399.50222
2017/07/10 06:00:00.000000 +00:00,6762.951111,7363.128889
2017/07/10 10:00:00.000000 +00:00,181783.3244,204567.3244
2017/07/10 14:00:00.000000 +00:00,384861.8667,496470.4711
2017/07/10 18:00:00.000000 +00:00,2333593.031,2488005.404
2017/07/10 22:00:00.000000 +00:00,845115.7333,911528.96
2017/07/11 02:00:00.000000 +00:00,4866.275556,5171.768889
2017/07/11 06:00:00.000000 +00:00,67192.03556,80012.51556
2017/07/11 10:00:00.000000 +00:00,1114621.156,1223055.929
2017/07/11 14:00:00.000000 +00:00,1464866.133,1590748.729
2017/07/11 18:00:00.000000 +00:00,504515.6978,648602.7378
2017/07/11 22:00:00.000000 +00:00,271295.1467,343228.3022
2017/07/12 02:00:00.000000 +00:00,63337.81333,66664.10667
2017/07/12 06:00:00.000000 +00:00,565238.8978,599757.9378
2017/07/12 10:00:00.000000 +00:00,477238.0444,613884.0178
2017/07/12 14:00:00.000000 +00:00,648118.6133,774016
2017/07/12 18:00:00.000000 +00:00,669397.3333,762823.1111
2017/07/12 22:00:00.000000 +00:00,281597.1556,330240
2017/07/13 02:00:00.000000 +00:00,23823.92889,29277.86667
2017/07/13 06:00:00.000000 +00:00,78628.97778,85135.92889
2017/07/13 10:00:00.000000 +00:00,1090569.671,1477711.644
2017/07/13 14:00:00.000000 +00:00,725065.9556,765364.9067
2017/07/13 18:00:00.000000 +00:00,1715372.942,2069799.822
2017/07/13 22:00:00.000000 +00:00,542376.96,623249.6356
2017/07/14 02:00:00.000000 +00:00,11117.22667,13398.47111
2017/07/14 06:00:00.000000 +00:00,93123.69778,98692.55111
2017/07/14 10:00:00.000000 +00:00,612939.6622,1112897.991
2017/07/14 14:00:00.000000 +00:00,684324.9778,1171444.053
2017/07/14 18:00:00.000000 +00:00,1065983.431,2200321.707
2017/07/14 22:00:00.000000 +00:00,1396108.516,1984229.831
2017/07/15 02:00:00.000000 +00:00,137461.76,152591.9289
