Time,# Clients
2017/07/01 04:00:00.000000 +00:00,141
2017/07/02 04:00:00.000000 +00:00,120
2017/07/03 04:00:00.000000 +00:00,116
2017/07/04 04:00:00.000000 +00:00,89
2017/07/05 04:00:00.000000 +00:00,109
2017/07/06 04:00:00.000000 +00:00,179
2017/07/07 04:00:00.000000 +00:00,205
2017/07/08 04:00:00.000000 +00:00,126
2017/07/09 04:00:00.000000 +00:00,71
2017/07/10 04:00:00.000000 +00:00,64
2017/07/11 04:00:00.000000 +00:00,93
2017/07/12 04:00:00.000000 +00:00,88
2017/07/13 04:00:00.000000 +00:00,117
2017/07/14 04:00:00.000000 +00:00,191
2017/07/15 04:00:00.000000 +00:00,164
2017/07/16 04:00:00.000000 +00:00,109
2017/07/17 04:00:00.000000 +00:00,103
2017/07/18 04:00:00.000000 +00:00,117
2017/07/19 04:00:00.000000 +00:00,153
2017/07/20 04:00:00.000000 +00:00,134
2017/07/21 04:00:00.000000 +00:00,145
2017/07/22 04:00:00.000000 +00:00,105
2017/07/23 04:00:00.000000 +00:00,126
2017/07/24 04:00:00.000000 +00:00,119
2017/07/25 04:00:00.000000 +00:00,157
2017/07/26 04:00:00.000000 +00:00,164
2017/07/27 04:00:00.000000 +00:00,153
2017/07/28 04:00:00.000000 +00:00,105
2017/07/29 04:00:00.000000 +00:00,142
2017/07/30 04:00:00.000000 +00:00,153
2017/07/31 04:00:00.000000 +00:00,147
2017/08/01 04:00:00.000000 +00:00,158
2017/08/02 04:00:00.000000 +00:00,157
2017/08/03 04:00:00.000000 +00:00,127
2017/08/04 04:00:00.000000 +00:00,220
2017/08/05 04:00:00.000000 +00:00,163
2017/08/06 04:00:00.000000 +00:00,116
2017/08/07 04:00:00.000000 +00:00,82
2017/08/08 04:00:00.000000 +00:00,166
2017/08/09 04:00:00.000000 +00:00,159
2017/08/10 04:00:00.000000 +00:00,163
2017/08/11 04:00:00.000000 +00:00,164
2017/08/12 04:00:00.000000 +00:00,86
2017/08/13 04:00:00.000000 +00:00,179
2017/08/14 04:00:00.000000 +00:00,160
2017/08/15 04:00:00.000000 +00:00,140
2017/08/16 04:00:00.000000 +00:00,222
2017/08/17 04:00:00.000000 +00:00,135
2017/08/18 04:00:00.000000 +00:00,151
2017/08/19 04:00:00.000000 +00:00,157
2017/08/20 04:00:00.000000 +00:00,98
2017/08/21 04:00:00.000000 +00:00,117
2017/08/22 04:00:00.000000 +00:00,130
2017/08/23 04:00:00.000000 +00:00,139
2017/08/24 04:00:00.000000 +00:00,130
2017/08/25 04:00:00.000000 +00:00,185
2017/08/26 04:00:00.000000 +00:00,153
2017/08/27 04:00:00.000000 +00:00,86
2017/08/28 04:00:00.000000 +00:00,104
2017/08/29 04:00:00.000000 +00:00,67
2017/08/30 04:00:00.000000 +00:00,110
2017/08/31 04:00:00.000000 +00:00,124
2017/09/01 04:00:00.000000 +00:00,63
2017/09/02 04:00:00.000000 +00:00,70
2017/09/03 04:00:00.000000 +00:00,123
2017/09/04 04:00:00.000000 +00:00,91
2017/09/05 04:00:00.000000 +00:00,101
2017/09/06 04:00:00.000000 +00:00,52
2017/09/07 04:00:00.000000 +00:00,78
2017/09/08 04:00:00.000000 +00:00,127
2017/09/09 04:00:00.000000 +00:00,100
2017/09/10 04:00:00.000000 +00:00,82
2017/09/11 04:00:00.000000 +00:00,87
2017/09/12 04:00:00.000000 +00:00,91
2017/09/13 04:00:00.000000 +00:00,90
2017/09/14 04:00:00.000000 +00:00,95
2017/09/15 04:00:00.000000 +00:00,175
2017/09/16 04:00:00.000000 +00:00,277
2017/09/17 04:00:00.000000 +00:00,105
2017/09/18 04:00:00.000000 +00:00,119
2017/09/19 04:00:00.000000 +00:00,136
2017/09/20 04:00:00.000000 +00:00,114
2017/09/21 04:00:00.000000 +00:00,129
2017/09/22 04:00:00.000000 +00:00,194
2017/09/23 04:00:00.000000 +00:00,174
2017/09/24 04:00:00.000000 +00:00,110
2017/09/25 04:00:00.000000 +00:00,112
2017/09/26 04:00:00.000000 +00:00,143
2017/09/27 04:00:00.000000 +00:00,131
2017/09/28 04:00:00.000000 +00:00,114
2017/09/29 04:00:00.000000 +00:00,145
2017/09/30 04:00:00.000000 +00:00,116
2017/10/01 04:00:00.000000 +00:00,104
2017/10/02 04:00:00.000000 +00:00,111
2017/10/03 04:00:00.000000 +00:00,141
2017/10/04 04:00:00.000000 +00:00,124
2017/10/05 04:00:00.000000 +00:00,134
2017/10/06 04:00:00.000000 +00:00,177
2017/10/07 04:00:00.000000 +00:00,134
2017/10/08 04:00:00.000000 +00:00,89
2017/10/09 04:00:00.000000 +00:00,97
2017/10/10 04:00:00.000000 +00:00,118
2017/10/11 04:00:00.000000 +00:00,94
2017/10/12 04:00:00.000000 +00:00,81
2017/10/13 04:00:00.000000 +00:00,117
2017/10/14 04:00:00.000000 +00:00,135
2017/10/15 04:00:00.000000 +00:00,110
2017/10/16 04:00:00.000000 +00:00,99
2017/10/17 04:00:00.000000 +00:00,118
2017/10/18 04:00:00.000000 +00:00,94
2017/10/19 04:00:00.000000 +00:00,148
2017/10/20 04:00:00.000000 +00:00,194
2017/10/21 04:00:00.000000 +00:00,191
2017/10/22 04:00:00.000000 +00:00,111
2017/10/23 04:00:00.000000 +00:00,85
2017/10/24 04:00:00.000000 +00:00,98
2017/10/25 04:00:00.000000 +00:00,117
2017/10/26 04:00:00.000000 +00:00,88
2017/10/27 04:00:00.000000 +00:00,132
2017/10/28 04:00:00.000000 +00:00,171
2017/10/29 04:00:00.000000 +00:00,51
2017/10/30 04:00:00.000000 +00:00,65
2017/10/31 04:00:00.000000 +00:00,60
2017/11/01 04:00:00.000000 +00:00,57
